transaction_id,customer_id,account_id,txn_type,amount,channel,branch_id,txn_date,status,description
TXN000031,CUST0969,ACC53117,WITHDRAWAL,146209.19,atm,BR001,2024-12-15,SUCCESS,WITHDRAWAL via atm
TXN000032,CUST0260,ACC57000,FD_BOOKING,176253.99,mobile,BR005,2024-08-26,SUCCESS,FD_BOOKING via mobile
TXN000033,CUST0470,ACC93205,LOAN_EMI,384328.71,mobile,BR004,2024-09-25,SUCCESS,LOAN_EMI via mobile
TXN000034,CUST0664,ACC52189,ATM_WITHDRAWAL,376684.25,mobile,BR008,2024-02-11,SUCCESS,ATM_WITHDRAWAL via mobile
TXN000035,CUST0552,ACC39828,FD_BOOKING,414358.69,branch,BR002,2024-11-13,SUCCESS,FD_BOOKING via branch
TXN000036,CUST0510,ACC93817,TRANSFER,378306.58,mobile,BR005,2024-12-16,SUCCESS,TRANSFER via mobile
TXN000037,CUST0826,ACC67379,FD_BOOKING,377409.95,mobile,BR006,2024-01-04,SUCCESS,FD_BOOKING via mobile
TXN000038,CUST0318,ACC76338,NEFT,148172.23,pos,BR009,2024-03-13,SUCCESS,NEFT via pos
TXN000039,CUST0078,ACC36033,WITHDRAWAL,45362.05,pos,BR007,2024-05-05,SUCCESS,WITHDRAWAL via pos
TXN000040,CUST0546,ACC56373,ATM_WITHDRAWAL,66602.84,atm,BR002,2024-12-27,SUCCESS,ATM_WITHDRAWAL via atm
TXN000041,CUST0818,ACC48523,RTGS,285096.38,branch,BR006,2024-04-15,SUCCESS,RTGS via branch
TXN000042,CUST0252,ACC81825,TRANSFER,333793.91,internet,BR001,2024-08-08,SUCCESS,TRANSFER via internet
TXN000043,CUST0225,ACC42158,PAYMENT,220233.92,mobile,BR003,2024-01-10,SUCCESS,PAYMENT via mobile
TXN000044,CUST0022,ACC90244,UPI,418981.57,atm,BR009,2024-09-19,SUCCESS,UPI via atm
TXN000045,CUST0191,ACC77970,RTGS,199868.46,pos,BR007,2024-12-09,SUCCESS,RTGS via pos
TXN000046,CUST0373,ACC44544,ATM_WITHDRAWAL,185177.23,mobile,BR006,2024-09-12,SUCCESS,ATM_WITHDRAWAL via mobile
TXN000047,CUST0710,ACC27628,FD_BOOKING,429986.36,upi,BR004,2024-09-19,SUCCESS,FD_BOOKING via upi
TXN000048,CUST0940,ACC76512,UPI,267726.42,branch,BR010,2024-04-24,SUCCESS,UPI via branch
TXN000049,CUST0719,ACC94536,NEFT,410556.66,mobile,BR008,2024-05-19,SUCCESS,NEFT via mobile
TXN000050,CUST0472,ACC91108,UPI,248616.76,atm,BR002,2024-03-01,SUCCESS,UPI via atm
TXN000051,CUST0573,ACC95233,DEPOSIT,447931.23,atm,BR003,2024-02-22,SUCCESS,DEPOSIT via atm
TXN000052,CUST0978,ACC46187,RTGS,126080.84,upi,BR001,2024-12-20,SUCCESS,RTGS via upi
TXN000053,CUST0722,ACC27479,ATM_WITHDRAWAL,107680.55,atm,BR005,2024-09-23,SUCCESS,ATM_WITHDRAWAL via atm
TXN000054,CUST0339,ACC40482,RTGS,399228.33,pos,BR007,2024-03-25,SUCCESS,RTGS via pos
TXN000055,CUST0698,ACC86922,FD_BOOKING,431380.76,pos,BR001,2024-12-25,SUCCESS,FD_BOOKING via pos
TXN000056,CUST0123,ACC19307,RTGS,31908.01,atm,BR003,2024-12-07,SUCCESS,RTGS via atm
TXN000057,CUST0616,ACC33506,TRANSFER,14840.83,atm,BR002,2024-06-03,SUCCESS,TRANSFER via atm
TXN000058,CUST0414,ACC85235,ATM_WITHDRAWAL,402476.48,atm,BR008,2024-03-28,SUCCESS,ATM_WITHDRAWAL via atm
TXN000059,CUST0099,ACC50789,FD_BOOKING,88787.73,atm,BR005,2024-08-03,SUCCESS,FD_BOOKING via atm
TXN000060,CUST0412,ACC36293,PAYMENT,175665.22,upi,BR002,2024-06-15,SUCCESS,PAYMENT via upi
TXN000061,CUST0537,ACC43786,DEPOSIT,439662.7,branch,BR009,2024-01-22,SUCCESS,DEPOSIT via branch
TXN000062,CUST0173,ACC10226,NEFT,6387.98,internet,BR007,2024-05-01,SUCCESS,NEFT via internet
TXN000063,CUST0582,ACC83841,FD_BOOKING,429693.38,mobile,BR004,2024-11-20,SUCCESS,FD_BOOKING via mobile
TXN000064,CUST0549,ACC38622,FD_BOOKING,48573.19,upi,BR003,2024-10-12,SUCCESS,FD_BOOKING via upi
TXN000065,CUST0913,ACC67763,TRANSFER,253713.63,atm,BR001,2024-10-02,FAILED,TRANSFER via atm
TXN000066,CUST0910,ACC25765,LOAN_EMI,467522.75,branch,BR006,2024-11-06,SUCCESS,LOAN_EMI via branch
TXN000067,CUST0172,ACC23070,UPI,96660.53,mobile,BR010,2024-06-15,FAILED,UPI via mobile
TXN000068,CUST0562,ACC60966,UPI,472011.15,upi,BR009,2024-02-11,SUCCESS,UPI via upi
TXN000069,CUST0145,ACC41385,UPI,94251.26,atm,BR001,2024-06-02,SUCCESS,UPI via atm
TXN000070,CUST0944,ACC72970,RTGS,49480.31,pos,BR002,2024-11-21,SUCCESS,RTGS via pos
TXN000071,CUST0540,ACC83793,RTGS,351132.73,pos,BR007,2024-09-21,SUCCESS,RTGS via pos
TXN000072,CUST0329,ACC27757,UPI,381784.95,internet,BR007,2024-07-14,SUCCESS,UPI via internet
TXN000073,CUST0503,ACC13123,UPI,52248.82,pos,BR008,2024-10-13,SUCCESS,UPI via pos
TXN000074,CUST0806,ACC47643,DEPOSIT,263822.31,branch,BR004,2024-02-10,SUCCESS,DEPOSIT via branch
TXN000075,CUST0766,ACC84878,NEFT,86762.04,internet,BR001,2024-09-01,SUCCESS,NEFT via internet
TXN000076,CUST0311,ACC60449,PAYMENT,175947.63,pos,BR001,2024-11-28,SUCCESS,PAYMENT via pos
TXN000077,CUST0521,ACC78679,TRANSFER,254421.92,upi,BR001,2024-04-04,SUCCESS,TRANSFER via upi
TXN000078,CUST0191,ACC39041,FD_BOOKING,36574.44,mobile,BR008,2024-04-19,SUCCESS,FD_BOOKING via mobile
TXN000079,CUST0016,ACC15928,ATM_WITHDRAWAL,103094.32,upi,BR002,2024-05-01,SUCCESS,ATM_WITHDRAWAL via upi
TXN000080,CUST0676,ACC53352,TRANSFER,493544.04,mobile,BR006,2024-07-02,SUCCESS,TRANSFER via mobile
TXN000081,CUST0614,ACC42266,RTGS,334299.55,atm,BR010,2024-12-28,SUCCESS,RTGS via atm
TXN000082,CUST0318,ACC36853,LOAN_EMI,204660.78,branch,BR007,2024-07-13,SUCCESS,LOAN_EMI via branch
TXN000083,CUST0923,ACC34837,UPI,126787.4,branch,BR007,2024-01-23,SUCCESS,UPI via branch
TXN000084,CUST0132,ACC96895,PAYMENT,35355.12,branch,BR002,2024-03-26,SUCCESS,PAYMENT via branch
TXN000085,CUST0188,ACC80377,FD_BOOKING,83766.63,upi,BR005,2024-11-23,FAILED,FD_BOOKING via upi
TXN000086,CUST0408,ACC47330,NEFT,143290.84,pos,BR005,2024-02-25,SUCCESS,NEFT via pos
TXN000087,CUST0843,ACC36493,WITHDRAWAL,277419.52,atm,BR004,2024-03-17,PENDING,WITHDRAWAL via atm
TXN000088,CUST0481,ACC72759,WITHDRAWAL,55792.17,branch,BR007,2024-03-03,SUCCESS,WITHDRAWAL via branch
TXN000089,CUST0826,ACC18834,PAYMENT,218030.72,internet,BR008,2024-12-05,SUCCESS,PAYMENT via internet
TXN000090,CUST0788,ACC15380,NEFT,383418.41,mobile,BR004,2024-12-11,SUCCESS,NEFT via mobile
TXN000091,CUST0015,ACC30016,FD_BOOKING,429757.83,internet,BR003,2024-06-15,SUCCESS,FD_BOOKING via internet
TXN000092,CUST0660,ACC17396,ATM_WITHDRAWAL,190079.17,internet,BR009,2024-02-08,SUCCESS,ATM_WITHDRAWAL via internet
TXN000093,CUST0200,ACC54025,UPI,12752.31,atm,BR002,2024-04-20,SUCCESS,UPI via atm
TXN000094,CUST0571,ACC31115,TRANSFER,273606.97,internet,BR001,2024-02-22,SUCCESS,TRANSFER via internet
TXN000095,CUST0531,ACC80028,DEPOSIT,309331.25,mobile,BR006,2024-06-02,SUCCESS,DEPOSIT via mobile
TXN000096,CUST0107,ACC99694,PAYMENT,3050.21,branch,BR010,2024-01-27,SUCCESS,PAYMENT via branch
TXN000097,CUST0581,ACC25681,PAYMENT,381111.91,branch,BR010,2024-09-03,SUCCESS,PAYMENT via branch
TXN000098,CUST0844,ACC72446,RTGS,322430.6,internet,BR010,2024-07-15,SUCCESS,RTGS via internet
TXN000099,CUST0244,ACC99506,UPI,306342.99,internet,BR008,2024-08-05,SUCCESS,UPI via internet
TXN000100,CUST0901,ACC57203,PAYMENT,72289.26,upi,BR003,2024-07-09,SUCCESS,PAYMENT via upi
TXN000101,CUST0377,ACC12744,ATM_WITHDRAWAL,402744.69,mobile,BR001,2024-08-14,SUCCESS,ATM_WITHDRAWAL via mobile
TXN000102,CUST0555,ACC39751,ATM_WITHDRAWAL,62599.61,upi,BR006,2024-04-13,SUCCESS,ATM_WITHDRAWAL via upi
TXN000103,CUST0428,ACC70369,UPI,222002.05,atm,BR008,2024-06-11,SUCCESS,UPI via atm
TXN000104,CUST0409,ACC27447,NEFT,103036.95,mobile,BR004,2024-10-07,FAILED,NEFT via mobile
TXN000105,CUST0747,ACC96419,RTGS,181771.11,atm,BR009,2024-07-12,SUCCESS,RTGS via atm
TXN000106,CUST0219,ACC61488,TRANSFER,235169.2,pos,BR008,2024-05-27,FAILED,TRANSFER via pos
TXN000107,CUST0891,ACC91735,ATM_WITHDRAWAL,25537.77,mobile,BR006,2024-09-06,SUCCESS,ATM_WITHDRAWAL via mobile
TXN000108,CUST0960,ACC77829,ATM_WITHDRAWAL,90239.59,atm,BR001,2024-12-07,SUCCESS,ATM_WITHDRAWAL via atm
TXN000109,CUST0684,ACC32589,LOAN_EMI,491817.91,upi,BR010,2024-03-21,SUCCESS,LOAN_EMI via upi
TXN000110,CUST0801,ACC35927,TRANSFER,205703.74,atm,BR004,2024-12-05,SUCCESS,TRANSFER via atm
TXN000111,CUST0499,ACC51446,RTGS,466516.81,pos,BR009,2024-12-21,SUCCESS,RTGS via pos
TXN000112,CUST0693,ACC22722,WITHDRAWAL,42966.45,branch,BR001,2024-06-28,SUCCESS,WITHDRAWAL via branch
TXN000113,CUST0954,ACC56752,PAYMENT,371817.79,mobile,BR005,2024-02-12,SUCCESS,PAYMENT via mobile
TXN000114,CUST0324,ACC86473,UPI,237596.16,upi,BR003,2024-05-10,SUCCESS,UPI via upi
TXN000115,CUST0576,ACC30946,TRANSFER,81712.05,branch,BR009,2024-10-14,SUCCESS,TRANSFER via branch
TXN000116,CUST0566,ACC92402,UPI,349961.32,internet,BR004,2024-02-22,FAILED,UPI via internet
TXN000117,CUST0932,ACC68314,WITHDRAWAL,377861.19,mobile,BR007,2024-08-13,SUCCESS,WITHDRAWAL via mobile
TXN000118,CUST0786,ACC12615,RTGS,344091.94,internet,BR008,2024-10-19,SUCCESS,RTGS via internet
TXN000119,CUST0916,ACC12602,UPI,473307.38,pos,BR006,2024-06-03,SUCCESS,UPI via pos
TXN000120,CUST0071,ACC33230,TRANSFER,312053.15,upi,BR007,2024-03-04,PENDING,TRANSFER via upi
TXN000121,CUST0810,ACC97674,PAYMENT,480791.4,internet,BR005,2024-12-26,FAILED,PAYMENT via internet
TXN000122,CUST0086,ACC56492,RTGS,491787.1,atm,BR001,2024-10-19,SUCCESS,RTGS via atm
TXN000123,CUST0174,ACC57869,LOAN_EMI,96092.37,internet,BR009,2024-01-16,SUCCESS,LOAN_EMI via internet
TXN000124,CUST0171,ACC16817,PAYMENT,350287.39,internet,BR008,2024-07-11,SUCCESS,PAYMENT via internet
TXN000125,CUST0768,ACC96074,UPI,329739.32,internet,BR009,2024-01-05,SUCCESS,UPI via internet
TXN000126,CUST0949,ACC91811,DEPOSIT,367347.17,branch,BR005,2024-07-07,SUCCESS,DEPOSIT via branch
TXN000127,CUST0390,ACC60907,DEPOSIT,347674.61,internet,BR007,2024-06-12,SUCCESS,DEPOSIT via internet
TXN000128,CUST0875,ACC65641,ATM_WITHDRAWAL,353669.53,mobile,BR006,2024-12-09,SUCCESS,ATM_WITHDRAWAL via mobile
TXN000129,CUST0501,ACC46915,LOAN_EMI,41744.73,atm,BR002,2024-11-11,SUCCESS,LOAN_EMI via atm
TXN000130,CUST0918,ACC24879,DEPOSIT,405396.47,branch,BR004,2024-02-06,SUCCESS,DEPOSIT via branch
TXN000131,CUST0158,ACC84961,PAYMENT,389460.45,branch,BR001,2024-12-01,SUCCESS,PAYMENT via branch
TXN000132,CUST0350,ACC90931,WITHDRAWAL,78206.27,upi,BR008,2024-11-28,SUCCESS,WITHDRAWAL via upi
TXN000133,CUST0681,ACC23871,RTGS,61077.0,upi,BR003,2024-04-24,FAILED,RTGS via upi
TXN000134,CUST0191,ACC22019,WITHDRAWAL,2020.18,upi,BR004,2024-04-02,SUCCESS,WITHDRAWAL via upi
TXN000135,CUST0397,ACC51996,NEFT,96400.03,mobile,BR008,2024-10-23,SUCCESS,NEFT via mobile
TXN000136,CUST0295,ACC98625,RTGS,432517.61,branch,BR008,2024-03-17,SUCCESS,RTGS via branch
TXN000137,CUST0181,ACC35915,LOAN_EMI,72032.0,pos,BR010,2024-04-23,SUCCESS,LOAN_EMI via pos
TXN000138,CUST0780,ACC19932,PAYMENT,93605.32,internet,BR004,2024-03-13,SUCCESS,PAYMENT via internet
TXN000139,CUST0607,ACC48891,RTGS,206199.76,upi,BR005,2024-04-14,SUCCESS,RTGS via upi
TXN000140,CUST0354,ACC41558,NEFT,3590.84,upi,BR005,2024-05-25,SUCCESS,NEFT via upi
TXN000141,CUST0064,ACC18229,UPI,172177.2,upi,BR001,2024-10-25,SUCCESS,UPI via upi
TXN000142,CUST0082,ACC98347,UPI,6098.27,upi,BR002,2024-06-19,SUCCESS,UPI via upi
TXN000143,CUST0937,ACC57379,RTGS,339129.96,branch,BR010,2024-05-24,SUCCESS,RTGS via branch
TXN000144,CUST0462,ACC56938,UPI,185284.65,internet,BR008,2024-06-18,PENDING,UPI via internet
TXN000145,CUST0195,ACC39899,RTGS,85359.41,upi,BR006,2024-07-15,SUCCESS,RTGS via upi
TXN000146,CUST0333,ACC62853,UPI,434354.3,atm,BR008,2024-03-05,SUCCESS,UPI via atm
TXN000147,CUST0395,ACC64997,DEPOSIT,436693.54,internet,BR007,2024-11-05,SUCCESS,DEPOSIT via internet
TXN000148,CUST0015,ACC66935,TRANSFER,75604.22,mobile,BR004,2024-02-01,SUCCESS,TRANSFER via mobile
TXN000149,CUST0154,ACC45506,FD_BOOKING,98958.47,atm,BR007,2024-03-10,SUCCESS,FD_BOOKING via atm
TXN000150,CUST0875,ACC82001,LOAN_EMI,113946.87,atm,BR010,2024-12-16,SUCCESS,LOAN_EMI via atm
TXN000151,CUST0971,ACC30948,UPI,484553.05,branch,BR006,2024-02-03,FAILED,UPI via branch
TXN000152,CUST0723,ACC72482,RTGS,144732.0,mobile,BR009,2024-08-26,SUCCESS,RTGS via mobile
TXN000153,CUST0503,ACC11699,LOAN_EMI,315791.15,internet,BR005,2024-11-20,SUCCESS,LOAN_EMI via internet
TXN000154,CUST0125,ACC88527,TRANSFER,264865.4,internet,BR006,2024-12-28,SUCCESS,TRANSFER via internet
TXN000155,CUST0579,ACC72065,WITHDRAWAL,8953.12,internet,BR007,2024-04-07,FAILED,WITHDRAWAL via internet
TXN000156,CUST0705,ACC40597,FD_BOOKING,316972.33,atm,BR005,2024-09-11,SUCCESS,FD_BOOKING via atm
TXN000157,CUST0340,ACC35477,TRANSFER,482740.4,upi,BR010,2024-04-23,SUCCESS,TRANSFER via upi
TXN000158,CUST0243,ACC42649,UPI,281692.68,branch,BR006,2024-09-04,SUCCESS,UPI via branch
TXN000159,CUST0152,ACC91737,FD_BOOKING,40745.7,atm,BR008,2024-10-24,SUCCESS,FD_BOOKING via atm
TXN000160,CUST0461,ACC61062,PAYMENT,395661.66,internet,BR003,2024-06-28,SUCCESS,PAYMENT via internet
TXN000161,CUST0486,ACC42320,PAYMENT,316571.6,internet,BR006,2024-10-16,SUCCESS,PAYMENT via internet
TXN000162,CUST0803,ACC45750,FD_BOOKING,242400.39,internet,BR010,2024-09-07,SUCCESS,FD_BOOKING via internet
TXN000163,CUST0662,ACC34667,RTGS,302580.2,internet,BR001,2024-12-07,SUCCESS,RTGS via internet
TXN000164,CUST0517,ACC47022,PAYMENT,395375.58,atm,BR001,2024-05-09,SUCCESS,PAYMENT via atm
TXN000165,CUST0304,ACC13313,DEPOSIT,325852.32,atm,BR002,2024-06-15,SUCCESS,DEPOSIT via atm
TXN000166,CUST0152,ACC68547,ATM_WITHDRAWAL,277676.65,pos,BR008,2024-06-04,FAILED,ATM_WITHDRAWAL via pos
TXN000167,CUST0467,ACC46169,PAYMENT,353177.74,atm,BR005,2024-03-19,SUCCESS,PAYMENT via atm
TXN000168,CUST0980,ACC12222,WITHDRAWAL,26306.5,internet,BR009,2024-08-12,SUCCESS,WITHDRAWAL via internet
TXN000169,CUST0852,ACC59155,NEFT,12830.08,atm,BR006,2024-07-06,SUCCESS,NEFT via atm
TXN000170,CUST0857,ACC14526,LOAN_EMI,162074.68,pos,BR001,2024-09-02,SUCCESS,LOAN_EMI via pos
TXN000171,CUST0731,ACC27284,UPI,32032.56,branch,BR003,2024-03-04,SUCCESS,UPI via branch
TXN000172,CUST0963,ACC40803,WITHDRAWAL,377354.32,internet,BR006,2024-02-14,SUCCESS,WITHDRAWAL via internet
TXN000173,CUST0072,ACC74547,ATM_WITHDRAWAL,272601.18,pos,BR007,2024-11-26,SUCCESS,ATM_WITHDRAWAL via pos
TXN000174,CUST0159,ACC81840,WITHDRAWAL,407200.64,atm,BR003,2024-02-25,SUCCESS,WITHDRAWAL via atm
TXN000175,CUST0268,ACC39805,PAYMENT,28351.44,upi,BR009,2024-01-02,SUCCESS,PAYMENT via upi
TXN000176,CUST0715,ACC39559,UPI,21293.18,mobile,BR004,2024-03-28,SUCCESS,UPI via mobile
TXN000177,CUST0328,ACC52329,ATM_WITHDRAWAL,378005.94,upi,BR007,2024-01-17,SUCCESS,ATM_WITHDRAWAL via upi
TXN000178,CUST0505,ACC13081,ATM_WITHDRAWAL,275060.54,branch,BR004,2024-10-02,SUCCESS,ATM_WITHDRAWAL via branch
TXN000179,CUST0597,ACC74417,DEPOSIT,174755.83,branch,BR010,2024-06-17,SUCCESS,DEPOSIT via branch
TXN000180,CUST0169,ACC62059,PAYMENT,76212.7,branch,BR010,2024-05-09,SUCCESS,PAYMENT via branch
TXN000181,CUST0524,ACC60910,TRANSFER,417427.69,pos,BR005,2024-06-07,SUCCESS,TRANSFER via pos
TXN000182,CUST0267,ACC61463,WITHDRAWAL,325266.27,atm,BR001,2024-08-20,FAILED,WITHDRAWAL via atm
TXN000183,CUST0688,ACC77083,ATM_WITHDRAWAL,102374.57,branch,BR001,2024-07-26,SUCCESS,ATM_WITHDRAWAL via branch
TXN000184,CUST0956,ACC36946,PAYMENT,379903.66,upi,BR005,2024-12-22,SUCCESS,PAYMENT via upi
TXN000185,CUST0608,ACC49763,FD_BOOKING,231943.51,upi,BR004,2024-10-27,SUCCESS,FD_BOOKING via upi
TXN000186,CUST0524,ACC13121,LOAN_EMI,6278.93,mobile,BR006,2024-04-16,FAILED,LOAN_EMI via mobile
TXN000187,CUST0398,ACC52907,UPI,492116.32,pos,BR003,2024-08-16,SUCCESS,UPI via pos
TXN000188,CUST0293,ACC97428,PAYMENT,38929.3,branch,BR001,2024-01-20,SUCCESS,PAYMENT via branch
TXN000189,CUST0012,ACC45944,DEPOSIT,151792.93,atm,BR010,2024-03-04,SUCCESS,DEPOSIT via atm
TXN000190,CUST0221,ACC94642,PAYMENT,485473.01,upi,BR006,2024-02-09,SUCCESS,PAYMENT via upi
TXN000191,CUST0023,ACC48989,DEPOSIT,449271.0,internet,BR003,2024-05-15,FAILED,DEPOSIT via internet
TXN000192,CUST0909,ACC36825,WITHDRAWAL,459711.24,upi,BR001,2024-08-06,SUCCESS,WITHDRAWAL via upi
TXN000193,CUST0089,ACC40776,UPI,434908.92,pos,BR009,2024-05-09,SUCCESS,UPI via pos
TXN000194,CUST0577,ACC72878,WITHDRAWAL,365743.87,mobile,BR004,2024-02-13,SUCCESS,WITHDRAWAL via mobile
TXN000195,CUST0031,ACC14870,UPI,216300.51,atm,BR007,2024-03-01,SUCCESS,UPI via atm
TXN000196,CUST0046,ACC96063,WITHDRAWAL,479718.5,internet,BR005,2024-12-16,SUCCESS,WITHDRAWAL via internet
TXN000197,CUST0274,ACC13199,LOAN_EMI,481598.49,mobile,BR004,2024-12-15,SUCCESS,LOAN_EMI via mobile
TXN000198,CUST0666,ACC15783,RTGS,417712.7,atm,BR009,2024-12-16,SUCCESS,RTGS via atm
TXN000199,CUST0733,ACC16198,LOAN_EMI,182080.99,pos,BR006,2024-08-27,SUCCESS,LOAN_EMI via pos
TXN000200,CUST0168,ACC58924,FD_BOOKING,363126.68,pos,BR003,2024-06-24,SUCCESS,FD_BOOKING via pos
TXN000201,CUST0417,ACC32801,RTGS,200949.42,atm,BR006,2024-05-05,SUCCESS,RTGS via atm
TXN000202,CUST0770,ACC74816,NEFT,203972.11,atm,BR002,2024-10-09,SUCCESS,NEFT via atm
TXN000203,CUST0341,ACC57011,UPI,225439.3,pos,BR003,2024-01-11,SUCCESS,UPI via pos
TXN000204,CUST0881,ACC91928,TRANSFER,299436.39,pos,BR003,2024-10-05,PENDING,TRANSFER via pos
TXN000205,CUST0812,ACC36976,ATM_WITHDRAWAL,40963.52,atm,BR002,2024-09-18,SUCCESS,ATM_WITHDRAWAL via atm
TXN000206,CUST0107,ACC85427,DEPOSIT,127433.11,pos,BR003,2024-12-08,SUCCESS,DEPOSIT via pos
TXN000207,CUST0807,ACC53895,UPI,58548.98,upi,BR006,2024-09-13,SUCCESS,UPI via upi
TXN000208,CUST0840,ACC61485,PAYMENT,288552.01,upi,BR007,2024-12-25,PENDING,PAYMENT via upi
TXN000209,CUST0232,ACC93947,UPI,77935.02,upi,BR004,2024-12-01,SUCCESS,UPI via upi
TXN000210,CUST0993,ACC76127,WITHDRAWAL,247651.94,branch,BR005,2024-04-25,SUCCESS,WITHDRAWAL via branch
TXN000211,CUST0846,ACC37426,NEFT,319160.48,mobile,BR001,2024-01-01,SUCCESS,NEFT via mobile
TXN000212,CUST0213,ACC34341,WITHDRAWAL,33604.22,atm,BR002,2024-07-12,SUCCESS,WITHDRAWAL via atm
TXN000213,CUST0011,ACC88323,LOAN_EMI,171650.48,internet,BR004,2024-05-14,SUCCESS,LOAN_EMI via internet
TXN000214,CUST0942,ACC72710,RTGS,296708.76,upi,BR008,2024-01-16,SUCCESS,RTGS via upi
TXN000215,CUST0032,ACC43525,UPI,430601.32,atm,BR009,2024-02-14,SUCCESS,UPI via atm
TXN000216,CUST0636,ACC56013,UPI,497319.69,atm,BR001,2024-08-25,SUCCESS,UPI via atm
TXN000217,CUST0487,ACC43050,NEFT,46115.21,mobile,BR002,2024-08-13,SUCCESS,NEFT via mobile
TXN000218,CUST0248,ACC89116,UPI,17267.64,internet,BR009,2024-12-28,SUCCESS,UPI via internet
TXN000219,CUST0629,ACC63819,WITHDRAWAL,5245.95,mobile,BR010,2024-11-25,SUCCESS,WITHDRAWAL via mobile
TXN000220,CUST0519,ACC68252,WITHDRAWAL,251086.1,atm,BR005,2024-12-19,SUCCESS,WITHDRAWAL via atm
TXN000221,CUST0948,ACC80210,DEPOSIT,126676.83,branch,BR009,2024-08-06,SUCCESS,DEPOSIT via branch
TXN000222,CUST0301,ACC31331,DEPOSIT,145214.3,internet,BR007,2024-02-22,SUCCESS,DEPOSIT via internet
TXN000223,CUST0858,ACC20069,PAYMENT,241124.88,mobile,BR001,2024-07-25,SUCCESS,PAYMENT via mobile
TXN000224,CUST0670,ACC33151,ATM_WITHDRAWAL,22032.95,mobile,BR004,2024-06-28,SUCCESS,ATM_WITHDRAWAL via mobile
