complaint_id,customer_id,category,description,priority,status,branch_id,raised_date,resolved_date,channel
COMP0060,CUST0978,Wrong Charge,Customer raised issue regarding wrong charge,High,Open,BR010,2024-12-19,,email
COMP0061,CUST0896,Card Blocked,Customer raised issue regarding card blocked,Low,Resolved,BR008,2024-06-07,2024-07-02,mobile_app
COMP0062,CUST0438,Loan Query,Customer raised issue regarding loan query,Critical,In Progress,BR006,2024-07-10,,website
COMP0063,CUST0363,Branch Service,Customer raised issue regarding branch service,Critical,Resolved,BR008,2024-07-14,2024-08-02,email
COMP0064,CUST0921,KYC Pending,Customer raised issue regarding kyc pending,Critical,Closed,BR001,2024-06-04,2024-06-22,mobile_app
COMP0065,CUST0883,KYC Pending,Customer raised issue regarding kyc pending,Low,Closed,BR008,2024-10-24,2024-11-18,website
COMP0066,CUST0424,Card Blocked,Customer raised issue regarding card blocked,High,Open,BR002,2024-06-19,,branch
COMP0067,CUST0321,Fraud Alert,Customer raised issue regarding fraud alert,Medium,Resolved,BR007,2024-09-15,2024-09-16,email
COMP0068,CUST0894,Wrong Charge,Customer raised issue regarding wrong charge,Critical,Resolved,BR007,2024-10-16,2024-11-05,email
COMP0069,CUST0048,Branch Service,Customer raised issue regarding branch service,Low,Resolved,BR007,2024-07-27,2024-07-28,mobile_app
COMP0070,CUST0226,Branch Service,Customer raised issue regarding branch service,Medium,Resolved,BR001,2024-12-10,2024-12-14,mobile_app
COMP0071,CUST0146,Interest Dispute,Customer raised issue regarding interest dispute,High,Open,BR003,2024-01-21,,website
COMP0072,CUST0162,Wrong Charge,Customer raised issue regarding wrong charge,High,In Progress,BR002,2024-03-25,,call_center
COMP0073,CUST0575,ATM Issue,Customer raised issue regarding atm issue,Medium,Resolved,BR005,2024-12-27,2025-01-09,call_center
COMP0074,CUST0920,Interest Dispute,Customer raised issue regarding interest dispute,Critical,In Progress,BR006,2024-12-04,,email
COMP0075,CUST0524,Interest Dispute,Customer raised issue regarding interest dispute,High,Closed,BR002,2024-06-22,2024-06-26,call_center
COMP0076,CUST0690,Fraud Alert,Customer raised issue regarding fraud alert,High,Resolved,BR006,2024-09-20,2024-09-28,website
COMP0077,CUST0321,Loan Query,Customer raised issue regarding loan query,Medium,Resolved,BR009,2024-11-10,2024-11-29,website
COMP0078,CUST0643,Fraud Alert,Customer raised issue regarding fraud alert,Low,Closed,BR010,2024-06-08,2024-06-20,website
COMP0079,CUST0730,KYC Pending,Customer raised issue regarding kyc pending,Medium,In Progress,BR009,2024-12-16,,email
COMP0080,CUST0082,Wrong Charge,Customer raised issue regarding wrong charge,Low,Open,BR002,2024-09-03,,mobile_app
COMP0081,CUST0684,Card Blocked,Customer raised issue regarding card blocked,Critical,In Progress,BR002,2024-02-03,,email
COMP0082,CUST0916,Fraud Alert,Customer raised issue regarding fraud alert,Critical,In Progress,BR004,2024-07-28,,branch
COMP0083,CUST0579,Branch Service,Customer raised issue regarding branch service,Low,Open,BR006,2024-11-01,,email
COMP0084,CUST0689,KYC Pending,Customer raised issue regarding kyc pending,Critical,Open,BR010,2024-11-15,,email
COMP0085,CUST0064,ATM Issue,Customer raised issue regarding atm issue,High,Closed,BR006,2024-09-07,2024-09-16,email
COMP0086,CUST0367,Fraud Alert,Customer raised issue regarding fraud alert,High,In Progress,BR002,2024-01-23,,email
COMP0087,CUST0167,ATM Issue,Customer raised issue regarding atm issue,High,Open,BR009,2024-03-18,,mobile_app
COMP0088,CUST0329,Card Blocked,Customer raised issue regarding card blocked,Low,Closed,BR009,2024-08-06,2024-08-17,email
COMP0089,CUST0036,KYC Pending,Customer raised issue regarding kyc pending,High,Open,BR006,2024-02-20,,branch
COMP0090,CUST0588,Loan Query,Customer raised issue regarding loan query,Critical,Resolved,BR008,2024-08-01,2024-08-28,mobile_app
COMP0091,CUST0849,Fraud Alert,Customer raised issue regarding fraud alert,Critical,Open,BR007,2024-02-22,,mobile_app
COMP0092,CUST0602,Card Blocked,Customer raised issue regarding card blocked,Low,In Progress,BR006,2024-02-06,,website
COMP0093,CUST0269,Branch Service,Customer raised issue regarding branch service,Medium,Closed,BR010,2024-06-25,2024-07-21,email
COMP0094,CUST0603,KYC Pending,Customer raised issue regarding kyc pending,Medium,Closed,BR008,2024-12-02,2024-12-25,mobile_app
COMP0095,CUST0598,Fraud Alert,Customer raised issue regarding fraud alert,Medium,In Progress,BR007,2024-10-27,,branch
COMP0096,CUST0841,KYC Pending,Customer raised issue regarding kyc pending,Critical,Resolved,BR010,2024-01-14,2024-02-12,branch
COMP0097,CUST0872,Branch Service,Customer raised issue regarding branch service,Medium,Closed,BR007,2024-02-01,2024-02-02,call_center
COMP0098,CUST0729,Loan Query,Customer raised issue regarding loan query,High,Open,BR003,2024-01-20,,email
COMP0099,CUST0375,Fraud Alert,Customer raised issue regarding fraud alert,Critical,Open,BR006,2024-08-07,,email
COMP0100,CUST0616,Card Blocked,Customer raised issue regarding card blocked,Medium,Resolved,BR007,2024-04-07,2024-04-23,email
COMP0101,CUST0581,Branch Service,Customer raised issue regarding branch service,High,Open,BR004,2024-12-18,,mobile_app
COMP0102,CUST0912,Branch Service,Customer raised issue regarding branch service,Critical,Open,BR002,2024-09-17,,branch
COMP0103,CUST0645,Mobile App Bug,Customer raised issue regarding mobile app bug,Low,In Progress,BR004,2024-08-20,,email
COMP0104,CUST0899,Wrong Charge,Customer raised issue regarding wrong charge,Medium,In Progress,BR002,2024-05-08,,call_center
COMP0105,CUST0283,Mobile App Bug,Customer raised issue regarding mobile app bug,Critical,Open,BR008,2024-02-05,,mobile_app
COMP0106,CUST0516,Interest Dispute,Customer raised issue regarding interest dispute,Critical,In Progress,BR004,2024-12-17,,mobile_app
COMP0107,CUST0778,Fraud Alert,Customer raised issue regarding fraud alert,Low,Open,BR004,2024-11-06,,call_center
COMP0108,CUST0755,ATM Issue,Customer raised issue regarding atm issue,Medium,In Progress,BR001,2024-05-10,,website
COMP0109,CUST0301,Loan Query,Customer raised issue regarding loan query,High,Open,BR010,2024-08-17,,website
COMP0110,CUST0101,Transfer Failed,Customer raised issue regarding transfer failed,High,Resolved,BR008,2024-02-26,2024-03-22,branch
COMP0111,CUST0821,Card Blocked,Customer raised issue regarding card blocked,Medium,Resolved,BR010,2024-10-01,2024-10-02,call_center
COMP0112,CUST0524,Card Blocked,Customer raised issue regarding card blocked,Medium,In Progress,BR005,2024-02-16,,branch
COMP0113,CUST0724,Mobile App Bug,Customer raised issue regarding mobile app bug,Medium,Open,BR004,2024-08-16,,email
COMP0114,CUST0215,Card Blocked,Customer raised issue regarding card blocked,Low,In Progress,BR001,2024-06-24,,mobile_app
COMP0115,CUST0588,Wrong Charge,Customer raised issue regarding wrong charge,High,Open,BR008,2024-04-08,,call_center
COMP0116,CUST0944,KYC Pending,Customer raised issue regarding kyc pending,Low,In Progress,BR007,2024-09-06,,call_center
COMP0117,CUST0049,Mobile App Bug,Customer raised issue regarding mobile app bug,High,In Progress,BR010,2024-12-16,,website
COMP0118,CUST0429,Branch Service,Customer raised issue regarding branch service,High,Resolved,BR007,2024-03-03,2024-03-06,mobile_app
COMP0119,CUST0976,Interest Dispute,Customer raised issue regarding interest dispute,Low,Open,BR007,2024-03-02,,website
COMP0120,CUST0141,Mobile App Bug,Customer raised issue regarding mobile app bug,Medium,Resolved,BR001,2024-08-27,2024-09-21,mobile_app
COMP0121,CUST0444,Card Blocked,Customer raised issue regarding card blocked,High,In Progress,BR007,2024-03-27,,website
COMP0122,CUST0131,Mobile App Bug,Customer raised issue regarding mobile app bug,Medium,Resolved,BR001,2024-11-28,2024-12-02,branch
COMP0123,CUST0246,Card Blocked,Customer raised issue regarding card blocked,High,Closed,BR009,2024-12-27,2025-01-15,email
COMP0124,CUST0028,Fraud Alert,Customer raised issue regarding fraud alert,Medium,Open,BR009,2024-05-17,,website
COMP0125,CUST0953,Fraud Alert,Customer raised issue regarding fraud alert,High,Resolved,BR005,2024-11-24,2024-12-13,email
COMP0126,CUST0753,Fraud Alert,Customer raised issue regarding fraud alert,Critical,In Progress,BR006,2024-05-15,,call_center
COMP0127,CUST0675,ATM Issue,Customer raised issue regarding atm issue,High,Closed,BR005,2024-05-05,2024-05-27,branch
COMP0128,CUST0459,KYC Pending,Customer raised issue regarding kyc pending,Critical,In Progress,BR010,2024-05-19,,branch
COMP0129,CUST0964,Card Blocked,Customer raised issue regarding card blocked,Critical,Resolved,BR002,2024-05-10,2024-05-19,email
COMP0130,CUST0431,KYC Pending,Customer raised issue regarding kyc pending,Critical,Resolved,BR009,2024-02-26,2024-03-07,email
COMP0131,CUST0164,KYC Pending,Customer raised issue regarding kyc pending,Medium,Closed,BR005,2024-07-11,2024-08-08,branch
COMP0132,CUST0907,Branch Service,Customer raised issue regarding branch service,Medium,Open,BR005,2024-04-03,,mobile_app
COMP0133,CUST0951,Branch Service,Customer raised issue regarding branch service,High,In Progress,BR002,2024-04-20,,branch
COMP0134,CUST0230,Transfer Failed,Customer raised issue regarding transfer failed,Critical,Resolved,BR005,2024-09-08,2024-09-28,call_center
COMP0135,CUST0500,Interest Dispute,Customer raised issue regarding interest dispute,Critical,In Progress,BR008,2024-12-04,,email
COMP0136,CUST0258,Wrong Charge,Customer raised issue regarding wrong charge,Medium,Resolved,BR002,2024-03-11,2024-04-05,branch
COMP0137,CUST0734,Loan Query,Customer raised issue regarding loan query,Medium,Resolved,BR002,2024-03-10,2024-03-26,call_center
COMP0138,CUST0185,Loan Query,Customer raised issue regarding loan query,Critical,In Progress,BR001,2024-08-10,,branch
COMP0139,CUST0614,Interest Dispute,Customer raised issue regarding interest dispute,High,In Progress,BR008,2024-01-22,,branch
COMP0140,CUST0877,Transfer Failed,Customer raised issue regarding transfer failed,Medium,In Progress,BR004,2024-10-20,,website
COMP0141,CUST0680,Branch Service,Customer raised issue regarding branch service,Critical,Closed,BR004,2024-04-12,2024-04-18,branch
COMP0142,CUST0001,Branch Service,Customer raised issue regarding branch service,High,In Progress,BR008,2024-06-12,,website
COMP0143,CUST0914,Wrong Charge,Customer raised issue regarding wrong charge,Critical,In Progress,BR003,2024-02-17,,website
COMP0144,CUST0288,KYC Pending,Customer raised issue regarding kyc pending,Low,Open,BR009,2024-09-12,,website
COMP0145,CUST0578,Fraud Alert,Customer raised issue regarding fraud alert,Low,Open,BR002,2024-10-20,,email
COMP0146,CUST0186,Branch Service,Customer raised issue regarding branch service,Low,Closed,BR009,2024-04-10,2024-04-15,branch
COMP0147,CUST0422,Card Blocked,Customer raised issue regarding card blocked,Medium,In Progress,BR010,2024-12-21,,email
COMP0148,CUST0348,Loan Query,Customer raised issue regarding loan query,High,In Progress,BR004,2024-05-19,,mobile_app
COMP0149,CUST0730,Mobile App Bug,Customer raised issue regarding mobile app bug,Critical,In Progress,BR001,2024-05-02,,website
COMP0150,CUST0692,Loan Query,Customer raised issue regarding loan query,Medium,Resolved,BR003,2024-05-25,2024-06-01,branch
COMP0151,CUST0887,ATM Issue,Customer raised issue regarding atm issue,Low,Closed,BR004,2024-02-13,2024-02-20,call_center
COMP0152,CUST0137,Card Blocked,Customer raised issue regarding card blocked,Medium,Open,BR009,2024-11-26,,mobile_app
COMP0153,CUST0784,Wrong Charge,Customer raised issue regarding wrong charge,High,Resolved,BR008,2024-09-08,2024-10-05,website
COMP0154,CUST0755,ATM Issue,Customer raised issue regarding atm issue,Critical,Open,BR003,2024-02-06,,email
COMP0155,CUST0508,Fraud Alert,Customer raised issue regarding fraud alert,Critical,Open,BR001,2024-03-10,,branch
COMP0156,CUST0583,Branch Service,Customer raised issue regarding branch service,Medium,Closed,BR003,2024-05-10,2024-05-31,website
COMP0157,CUST0369,Wrong Charge,Customer raised issue regarding wrong charge,Low,Closed,BR007,2024-10-19,2024-11-09,branch
COMP0158,CUST0365,Wrong Charge,Customer raised issue regarding wrong charge,Medium,Open,BR002,2024-10-15,,mobile_app
COMP0159,CUST0519,Fraud Alert,Customer raised issue regarding fraud alert,High,Open,BR007,2024-07-12,,branch
COMP0160,CUST0954,Mobile App Bug,Customer raised issue regarding mobile app bug,Low,Open,BR006,2024-05-10,,branch
COMP0161,CUST0770,Wrong Charge,Customer raised issue regarding wrong charge,Critical,Closed,BR007,2024-01-04,2024-01-26,call_center
COMP0162,CUST0228,Mobile App Bug,Customer raised issue regarding mobile app bug,Critical,In Progress,BR006,2024-08-12,,branch
COMP0163,CUST0026,ATM Issue,Customer raised issue regarding atm issue,Low,In Progress,BR007,2024-07-25,,website
COMP0164,CUST0358,Interest Dispute,Customer raised issue regarding interest dispute,High,In Progress,BR010,2024-08-21,,call_center
COMP0165,CUST0562,Card Blocked,Customer raised issue regarding card blocked,Critical,Open,BR009,2024-05-26,,email
COMP0166,CUST0515,Mobile App Bug,Customer raised issue regarding mobile app bug,Critical,In Progress,BR001,2024-03-04,,call_center
COMP0167,CUST0607,Mobile App Bug,Customer raised issue regarding mobile app bug,Medium,In Progress,BR007,2024-04-28,,mobile_app
COMP0168,CUST0996,Wrong Charge,Customer raised issue regarding wrong charge,High,Open,BR002,2024-03-20,,website
COMP0169,CUST0957,ATM Issue,Customer raised issue regarding atm issue,Medium,Open,BR001,2024-03-13,,call_center
COMP0170,CUST0239,Interest Dispute,Customer raised issue regarding interest dispute,Low,Resolved,BR001,2024-07-26,2024-08-10,email
COMP0171,CUST0571,Wrong Charge,Customer raised issue regarding wrong charge,High,In Progress,BR003,2024-10-06,,email
COMP0172,CUST0289,Transfer Failed,Customer raised issue regarding transfer failed,High,Resolved,BR008,2024-07-08,2024-08-03,branch
COMP0173,CUST0443,Fraud Alert,Customer raised issue regarding fraud alert,Low,Resolved,BR006,2024-06-20,2024-07-17,branch
COMP0174,CUST0212,Transfer Failed,Customer raised issue regarding transfer failed,High,In Progress,BR006,2024-12-28,,email
COMP0175,CUST0163,Loan Query,Customer raised issue regarding loan query,Critical,In Progress,BR005,2024-07-14,,mobile_app
COMP0176,CUST0888,Transfer Failed,Customer raised issue regarding transfer failed,Medium,In Progress,BR007,2024-12-16,,mobile_app
COMP0177,CUST0076,Interest Dispute,Customer raised issue regarding interest dispute,High,Closed,BR010,2024-01-09,2024-02-04,email
COMP0178,CUST0770,KYC Pending,Customer raised issue regarding kyc pending,Medium,In Progress,BR005,2024-12-25,,call_center
COMP0179,CUST0709,ATM Issue,Customer raised issue regarding atm issue,High,Closed,BR005,2024-03-12,2024-03-22,website
COMP0180,CUST0461,Branch Service,Customer raised issue regarding branch service,Low,Closed,BR005,2024-04-16,2024-04-19,website
COMP0181,CUST0863,Transfer Failed,Customer raised issue regarding transfer failed,Low,In Progress,BR005,2024-09-20,,mobile_app
COMP0182,CUST0935,Loan Query,Customer raised issue regarding loan query,Low,Open,BR007,2024-01-04,,email
COMP0183,CUST0390,KYC Pending,Customer raised issue regarding kyc pending,Medium,Resolved,BR003,2024-02-04,2024-02-29,email
COMP0184,CUST0287,Wrong Charge,Customer raised issue regarding wrong charge,High,Open,BR002,2024-06-01,,email
COMP0185,CUST0219,Interest Dispute,Customer raised issue regarding interest dispute,Low,Closed,BR009,2024-01-17,2024-02-12,website
COMP0186,CUST0247,KYC Pending,Customer raised issue regarding kyc pending,High,Resolved,BR009,2024-11-08,2024-11-22,email
COMP0187,CUST0329,Card Blocked,Customer raised issue regarding card blocked,Critical,Resolved,BR010,2024-08-19,2024-09-07,mobile_app
COMP0188,CUST0267,Wrong Charge,Customer raised issue regarding wrong charge,High,Resolved,BR003,2024-11-19,2024-12-10,branch
COMP0189,CUST0749,Card Blocked,Customer raised issue regarding card blocked,Medium,Closed,BR009,2024-03-26,2024-04-11,email
COMP0190,CUST0414,Branch Service,Customer raised issue regarding branch service,High,Closed,BR009,2024-06-02,2024-06-28,mobile_app
COMP0191,CUST0536,Transfer Failed,Customer raised issue regarding transfer failed,Critical,In Progress,BR006,2024-04-02,,website
COMP0192,CUST0110,KYC Pending,Customer raised issue regarding kyc pending,Low,Closed,BR008,2024-09-22,2024-10-17,website
COMP0193,CUST0268,KYC Pending,Customer raised issue regarding kyc pending,Low,Open,BR010,2024-04-22,,call_center
COMP0194,CUST0823,Card Blocked,Customer raised issue regarding card blocked,Critical,Closed,BR002,2024-11-23,2024-12-14,website
COMP0195,CUST0632,Fraud Alert,Customer raised issue regarding fraud alert,Medium,Closed,BR006,2024-03-07,2024-03-22,branch
COMP0196,CUST0021,ATM Issue,Customer raised issue regarding atm issue,Medium,Resolved,BR010,2024-11-13,2024-11-20,email
COMP0197,CUST0076,Branch Service,Customer raised issue regarding branch service,Critical,Resolved,BR008,2024-01-12,2024-01-19,call_center
COMP0198,CUST0043,Fraud Alert,Customer raised issue regarding fraud alert,Medium,Closed,BR002,2024-04-22,2024-05-13,branch
COMP0199,CUST0067,Card Blocked,Customer raised issue regarding card blocked,High,Closed,BR005,2024-02-20,2024-03-07,call_center
COMP0200,CUST0728,Fraud Alert,Customer raised issue regarding fraud alert,High,Open,BR001,2024-04-14,,mobile_app
COMP0201,CUST0336,Branch Service,Customer raised issue regarding branch service,Low,Closed,BR010,2024-12-08,2024-12-13,website
COMP0202,CUST0914,Fraud Alert,Customer raised issue regarding fraud alert,High,Open,BR002,2024-02-15,,branch
COMP0203,CUST0853,Loan Query,Customer raised issue regarding loan query,Low,In Progress,BR008,2024-01-20,,mobile_app
COMP0204,CUST0104,Branch Service,Customer raised issue regarding branch service,High,Closed,BR008,2024-10-02,2024-10-20,mobile_app
COMP0205,CUST0488,Loan Query,Customer raised issue regarding loan query,Critical,In Progress,BR002,2024-07-26,,website
COMP0206,CUST0814,Wrong Charge,Customer raised issue regarding wrong charge,Critical,Resolved,BR010,2024-03-16,2024-03-26,mobile_app
COMP0207,CUST0949,ATM Issue,Customer raised issue regarding atm issue,Low,Open,BR001,2024-07-21,,website
COMP0208,CUST0934,Interest Dispute,Customer raised issue regarding interest dispute,Critical,Resolved,BR001,2024-01-20,2024-02-12,mobile_app
COMP0209,CUST0057,Mobile App Bug,Customer raised issue regarding mobile app bug,Medium,In Progress,BR006,2024-11-22,,mobile_app
COMP0210,CUST0391,Mobile App Bug,Customer raised issue regarding mobile app bug,Low,Closed,BR002,2024-01-17,2024-02-16,email
COMP0211,CUST0806,Loan Query,Customer raised issue regarding loan query,Critical,Open,BR001,2024-08-02,,branch
COMP0212,CUST0103,ATM Issue,Customer raised issue regarding atm issue,Medium,In Progress,BR003,2024-12-04,,call_center
COMP0213,CUST0720,Transfer Failed,Customer raised issue regarding transfer failed,Medium,Open,BR006,2024-02-28,,branch
COMP0214,CUST0125,Mobile App Bug,Customer raised issue regarding mobile app bug,Low,Closed,BR010,2024-04-26,2024-05-05,website
COMP0215,CUST0115,ATM Issue,Customer raised issue regarding atm issue,Critical,Closed,BR007,2024-10-17,2024-11-15,mobile_app
COMP0216,CUST0864,Mobile App Bug,Customer raised issue regarding mobile app bug,Low,Open,BR005,2024-10-10,,branch
COMP0217,CUST0084,Transfer Failed,Customer raised issue regarding transfer failed,Medium,In Progress,BR009,2024-03-24,,call_center
COMP0218,CUST0372,Mobile App Bug,Customer raised issue regarding mobile app bug,Critical,Resolved,BR003,2024-10-11,2024-10-28,mobile_app
COMP0219,CUST0125,Transfer Failed,Customer raised issue regarding transfer failed,Critical,In Progress,BR002,2024-02-28,,mobile_app
COMP0220,CUST0021,Wrong Charge,Customer raised issue regarding wrong charge,High,Resolved,BR005,2024-10-13,2024-10-24,email
COMP0221,CUST0037,Wrong Charge,Customer raised issue regarding wrong charge,High,In Progress,BR002,2024-09-22,,call_center
COMP0222,CUST0938,KYC Pending,Customer raised issue regarding kyc pending,High,Open,BR006,2024-12-15,,email
COMP0223,CUST0633,KYC Pending,Customer raised issue regarding kyc pending,Low,In Progress,BR005,2024-03-09,,call_center
COMP0224,CUST0429,Loan Query,Customer raised issue regarding loan query,Medium,Resolved,BR003,2024-04-04,2024-04-26,mobile_app
COMP0225,CUST0645,KYC Pending,Customer raised issue regarding kyc pending,High,Closed,BR008,2024-02-28,2024-03-21,call_center
COMP0226,CUST0158,ATM Issue,Customer raised issue regarding atm issue,Medium,Open,BR007,2024-02-23,,call_center
COMP0227,CUST0631,Wrong Charge,Customer raised issue regarding wrong charge,Low,In Progress,BR002,2024-09-14,,mobile_app
COMP0228,CUST0436,Interest Dispute,Customer raised issue regarding interest dispute,High,Resolved,BR009,2024-03-06,2024-03-23,mobile_app
COMP0229,CUST0568,ATM Issue,Customer raised issue regarding atm issue,Critical,In Progress,BR010,2024-01-02,,email
COMP0230,CUST0627,Transfer Failed,Customer raised issue regarding transfer failed,Medium,Open,BR010,2024-07-14,,mobile_app
